"","intervention_type","environmentType","intervention_intensity","mean_prejudice","sd_prejudice","mean_coop_other","mean_def_other","n_obs"
"105","sharedResource",0,5,29.081832060273,1.06504250311909,2.76909492273731,298.311699779249,2265
"106","sharedResource",0,6,24.1827184154793,1.35658465371615,3.24238410596026,294.566004415011,2265
"107","sharedResource",0,7,20.654617461812,1.67961097795303,3.07019867549669,311.779249448124,2265
"108","sharedResource",0,8,17.9545191135049,1.74684831963095,3.56865342163355,311.770419426049,2265
"109","sharedResource",0,9,15.8971795940603,1.98333823259153,3.25253863134658,329.061368653422,2265
"110","sharedResource",0,10,14.2865039805992,2.03487575262799,3.01236203090508,331.298454746137,2265
"111","sharedResource",1,0,94.8609614982992,16.3798292367456,198.111699779249,588.765121412804,2265
"112","sharedResource",1,1,8.99949259387163,0.402286942820296,196.46710816777,591.132450331126,2265
"113","sharedResource",1,2,4.50125373579553,0.688148539524853,200.665342163355,585.884326710817,2265
"114","sharedResource",1,3,3.00824550376966,0.800739026386841,190.920088300221,570.140397350993,2265
"115","sharedResource",1,4,2.2946615704448,0.845696582896899,201.033554083885,601.813686534216,2265
"116","sharedResource",1,5,1.8601771177857,0.883171061924442,202.992052980132,598.897130242826,2265
"117","sharedResource",1,6,1.56470472203555,0.894650508702331,197.511699779249,583.458719646799,2265
"118","sharedResource",1,7,1.3442843030334,0.91254145179449,197.544812362031,575.295364238411,2265
"119","sharedResource",1,8,1.17736196241576,0.916113779491397,200.524061810155,588.006622516556,2265
"120","sharedResource",1,9,1.04635362444277,0.930055502668231,196.649889624724,581.826490066225,2265
"121","sharedResource",1,10,0.9417377668277,0.95101634365915,205.77174392936,579.593377483444,2265
"122","sharedResource",2,0,96.9269903994033,11.189180965861,54.4573951434879,288.025165562914,2265
"123","sharedResource",2,1,26.9803124541548,0.522956834774718,43.6176600441501,235.117439293598,2265
"124","sharedResource",2,2,13.5943782918033,1.10077230770601,54.8503311258278,296.354525386313,2265
"125","sharedResource",2,3,9.10091279803012,1.53453584690001,61.7801324503311,333.762913907285,2265
"126","sharedResource",2,4,6.80662259298986,1.62622735410112,50.0812362030905,289.950993377483,2265
"127","sharedResource",2,5,5.44165928468703,1.65725597474366,59.9527593818985,321.756732891832,2265
"128","sharedResource",2,6,4.56155590625341,1.7025300479543,57.3492273730684,315.049006622517,2265
"129","sharedResource",2,7,3.93454262922688,1.75431959168495,55.2225165562914,292.348785871965,2265
"130","sharedResource",2,8,3.46068519312042,1.76788693151196,62.8883002207506,341.210154525386,2265
"131","sharedResource",2,9,3.08066108882186,1.77486747914588,64.1205298013245,339.430463576159,2265
"132","sharedResource",2,10,2.78671978573832,1.82229610344703,52.716114790287,246.827814569536,2265
"133","training",0,0,98.6699734468991,7.09141387217339,2.95187637969095,269.672406181015,2265
"134","training",0,1,87.4296403320579,7.72094560580656,2.28256070640177,249.406622516556,2265
"135","training",0,2,44.8051813836381,0.879231379989539,2.56158940397351,258.516114790287,2265
"136","training",0,3,29.8616262508893,0.861615714986236,2.4167770419426,252.549227373068,2265
"137","training",0,4,22.3099565205596,1.54041365358589,2.42604856512141,250.21059602649,2265
"138","training",0,5,17.7571753930975,1.75339739280149,2.70066225165563,266.262251655629,2265
"139","training",0,6,14.7101536083854,2.10899022670086,2.38675496688742,232.501986754967,2265
"140","training",0,7,12.5386078700464,2.27009985796027,2.1037527593819,249.038410596026,2265
"141","training",0,8,10.8711924770699,2.24400123863142,3.59116997792494,258.382781456954,2265
"142","training",0,9,9.59509452338672,2.39292151629456,3.24061810154525,246.741721854305,2265
"143","training",0,10,8.56700554476987,2.38755563183989,2.65209713024283,249.348785871965,2265
"144","training",1,0,94.8330975842127,16.4332922834118,188.579249448124,582.06357615894,2265
"145","training",1,1,8.95143477480978,0.394558870144502,193.310816777042,569.072406181015,2265
"146","training",1,2,4.47702517208305,0.711320392148525,199.708609271523,586.099337748344,2265
"147","training",1,3,2.99205125704162,0.811839715491519,194.724944812362,569.552317880795,2265
"148","training",1,4,2.27275388350186,0.837190001974254,202.309933774834,581.335540838852,2265
"149","training",1,5,1.83841511142119,0.878533818796531,196.282560706402,587.114348785872,2265
"150","training",1,6,1.5416980895396,0.898712336698132,198.180573951435,577.490507726269,2265
"151","training",1,7,1.3218883007839,0.896315982017162,205.046357615894,580.044591611479,2265
"152","training",1,8,1.15790474237095,0.923985735917094,205.014569536424,582.239735099338,2265
"153","training",1,9,1.02815946119843,0.948707449803751,200.104635761589,574.949227373068,2265
"154","training",1,10,0.922566267425237,0.956646178944378,206.772626931567,583.802207505519,2265
"155","training",2,0,96.9536946458003,11.167064248424,67.633995584989,348.39646799117,2265
"156","training",2,1,26.9070081733356,0.566169126505073,64.4335540838852,363.28123620309,2265
"157","training",2,2,13.4698867809575,1.10446562501864,60.041059602649,312.658719646799,2265
"158","training",2,3,8.94690062586155,1.4362690497551,57.2432671081678,293.670198675497,2265
