"","intervention_type","environmentType","intervention_intensity","mean_prejudice","sd_prejudice","mean_coop_other","mean_def_other","n_obs"
"90","legalPolicy",2,1,40.5963822565994,2.75361585072301,72.4950495049505,48.9376237623762,1010
"91","legalPolicy",2,2,20.7927510100546,0.50990968343416,99.560396039604,26.4940594059406,1010
"92","legalPolicy",2,3,14.0119230459664,1.32860973480703,104.338613861386,17.5217821782178,1010
"93","legalPolicy",2,4,10.5475188162188,1.55238461081488,109.909900990099,15.2158415841584,1010
"94","legalPolicy",2,5,8.45808343405022,1.66412953029302,110.368316831683,11.4643564356436,1010
"95","legalPolicy",2,6,7.08238064414725,1.82639533398246,109.335643564356,10.0475247524752,1010
"96","legalPolicy",2,7,6.09382291428494,1.9393004920256,118.59900990099,9.92376237623762,1010
"97","legalPolicy",2,8,5.34440876519639,1.95374731996738,120.282178217822,7.24950495049505,1010
"98","legalPolicy",2,9,4.77114109499741,2.0390271719014,117.972277227723,7.2990099009901,1010
"99","legalPolicy",2,10,4.304763832736,2.06639697331221,121.465346534653,6.57326732673267,1010
"100","sharedResource",0,0,95.9188118811881,13.5396669272091,0,0,1010
"101","sharedResource",0,1,39.0088879754224,2.53753077241595,44.4633663366337,28.3247524752475,1010
"102","sharedResource",0,2,19.8307122035631,0.615448258300339,65.0544554455445,15.3633663366337,1010
"103","sharedResource",0,3,13.3025335692501,1.5012883669088,72.960396039604,11.7544554455446,1010
"104","sharedResource",0,4,9.98105090790646,1.76491737265682,80.9188118811881,9.27722772277228,1010
"105","sharedResource",0,5,7.96381221874922,1.78250933744233,94.9435643564356,8.91584158415842,1010
"106","sharedResource",0,6,6.646977585463,2.01941577236029,87.1544554455446,5.99306930693069,1010
"107","sharedResource",0,7,5.65924528924537,1.92970695157264,103.714851485149,7.17524752475247,1010
"108","sharedResource",0,8,4.93760882631267,1.93778301541993,118.408910891089,7.48514851485149,1010
"109","sharedResource",0,9,4.38694661191819,2.00766066267452,109.855445544554,6.81188118811881,1010
"110","sharedResource",0,10,3.91134698929335,2.05409161756909,137.629702970297,7.08811881188119,1010
"111","sharedResource",1,0,95.9578712871287,13.5623611975201,35.9841584158416,477.60396039604,1010
"112","sharedResource",1,1,39.3578544570353,2.54121429379556,310.076237623762,212.935643564356,1010
"113","sharedResource",1,2,19.960005908492,0.630865046183222,412.590099009901,109.542574257426,1010
"114","sharedResource",1,3,13.2634131211718,1.27035919018049,444.29504950495,74.6841584158416,1010
"115","sharedResource",1,4,9.99117699116812,1.6542241844548,463.107920792079,57.3227722772277,1010
"116","sharedResource",1,5,7.96482890765933,1.74319995660252,468.770297029703,44.3841584158416,1010
"117","sharedResource",1,6,6.60601827614856,1.88296636603121,468.262376237624,37.4811881188119,1010
"118","sharedResource",1,7,5.67044968596541,2.0029713783745,485.081188118812,31.4940594059406,1010
"119","sharedResource",1,8,4.94177445802234,1.98508071988085,494.591089108911,28.539603960396,1010
"120","sharedResource",1,9,4.36927194219877,1.98765609693947,492.057425742574,29.4673267326733,1010
"121","sharedResource",1,10,3.92942749727663,2.11636332131382,494.735643564356,21.2386138613861,1010
"122","sharedResource",2,0,95.9860891089109,13.4006272116269,10.1643564356436,110.680198019802,1010
"123","sharedResource",2,1,38.9705626584091,2.41654339149162,73.5594059405941,47.5118811881188,1010
"124","sharedResource",2,2,19.852263125858,0.604499143068893,100.209900990099,24.0554455445545,1010
"125","sharedResource",2,3,13.3177442041505,1.31840429969836,106.677227722772,18.2148514851485,1010
"126","sharedResource",2,4,9.94976162218089,1.56122570770016,110.824752475248,12.8643564356436,1010
"127","sharedResource",2,5,7.95422466952809,1.74044405035495,124.080198019802,12.750495049505,1010
"128","sharedResource",2,6,6.62533926705702,1.85023175426143,123.459405940594,10.5019801980198,1010
"129","sharedResource",2,7,5.66610542496753,1.89772264453641,108.745544554455,7.48316831683168,1010
"130","sharedResource",2,8,4.93326009978899,1.99824207205827,121.10495049505,6.66732673267327,1010
"131","sharedResource",2,9,4.37003210125407,2.02925104541191,116.611881188119,6.74653465346535,1010
"132","sharedResource",2,10,3.93758101621542,2.07179483892119,112.080198019802,5.31188118811881,1010
"133","training",0,0,95.9108267326733,13.5506399131618,0,0,1010
"134","training",0,1,26.5558784658998,0.434540590689759,0,0,1010
"135","training",0,2,13.4353158562055,1.36908005484001,0,0,1010
"136","training",0,3,8.94654192814901,1.67862548938746,0,0,1010
"137","training",0,4,6.70927723424707,1.85441995847605,0,0,1010
"138","training",0,5,5.36942192915058,2.00458432776771,0,0,1010
"139","training",0,6,4.45954780646987,2.12948550228358,0,0,1010
"140","training",0,7,3.80121816895731,2.03182698579984,0,0,1010
"141","training",0,8,3.32510883546299,2.16118360825043,0,0,1010
"142","training",0,9,2.94291454104475,2.10560694451326,0,0,1010
"143","training",0,10,2.65543873189174,2.27906054029901,0,0,1010
"144","training",1,0,95.8498118811881,13.8081496656703,34.9980198019802,493.426732673267,1010
"145","training",1,1,26.6056478991098,0.479256768196103,380.916831683168,143.631683168317,1010
"146","training",1,2,13.4260172701463,1.43254457765736,442.406930693069,75.9891089108911,1010
"147","training",1,3,8.9355041849729,1.73108450913395,460.066336633663,50.7039603960396,1010
"148","training",1,4,6.70629848053008,1.90874194647822,474.416831683168,38.3277227722772,1010
"149","training",1,5,5.33949409948675,1.95680011873841,473.381188118812,31.6683168316832,1010
"150","training",1,6,4.42770854693372,1.9506343470602,488.780198019802,25.7524752475248,1010
"151","training",1,7,3.78598541692026,2.07152732011789,498.654455445545,25.7039603960396,1010
"152","training",1,8,3.29658503685181,2.06295858888428,507.067326732673,18.0574257425743,1010
"153","training",1,9,2.92740959911296,2.17367097105137,501.709900990099,16.4960396039604,1010
"154","training",1,10,2.63678014642555,2.21798730673675,481.411881188119,16.9762376237624,1010
"155","training",2,0,95.9547128712871,13.4617597691385,10.6118811881188,115.216831683168,1010
"156","training",2,1,26.4907305292331,0.483288230388316,87.9653465346535,31.9455445544554,1010
"157","training",2,2,13.4316664261977,1.40002008614342,117.59900990099,19.2227722772277,1010
"158","training",2,3,8.95468670627183,1.81713193190873,110.226732673267,11.2049504950495,1010
"159","training",2,4,6.7018901502194,1.84397094314276,122.866336633663,9.4009900990099,1010
"160","training",2,5,5.34287381423334,1.9382800603449,111.293069306931,7.40792079207921,1010
"161","training",2,6,4.44030082138536,2.03258915221038,121.054455445545,7.97524752475248,1010
"162","training",2,7,3.79987597301629,2.08755333518433,113.511881188119,4.83564356435644,1010
"163","training",2,8,3.31497537754428,2.12231444855964,113.382178217822,5.46039603960396,1010
"164","training",2,9,2.92608457462765,2.05614551911854,119.69900990099,4.07623762376238,1010
"165","training",2,10,2.64035773383651,2.23322698713805,126.067326732673,4.0970297029703,1010
"166","youthSocialization",0,0,95.8661881188119,13.7010689459582,0,0,1010
"167","youthSocialization",0,1,79.838379786504,11.768721841368,13.2663366336634,57.2871287128713,1010
"168","youthSocialization",0,2,80.4978571756319,11.7500380616396,8.85940594059406,51.8504950495049,1010
"169","youthSocialization",0,3,79.2452378988725,11.5108083822673,13.5376237623762,59.6445544554455,1010
"170","youthSocialization",0,4,77.7330181997609,11.7103624410859,15.7811881188119,52.9960396039604,1010
"171","youthSocialization",0,5,79.2598530554822,11.3840194501241,13.5772277227723,61.6257425742574,1010
"172","youthSocialization",0,6,79.7296190861075,11.5360708775801,14.1425742574257,52.939603960396,1010
"173","youthSocialization",0,7,79.0903328273721,11.634568104327,15.3663366336634,59.2316831683168,1010
"174","youthSocialization",0,8,78.5876721872346,11.2108139259638,16.8207920792079,52.660396039604,1010
"175","youthSocialization",0,9,79.8023317259863,11.3175667705658,18.5712871287129,66.0990099009901,1010
"176","youthSocialization",0,10,80.1228214074309,11.8680682900202,19.0673267326733,71.4,1010
"177","youthSocialization",1,0,95.9328910891089,13.6027459719071,34.960396039604,488.363366336634,1010
"178","youthSocialization",1,1,81.1494823198154,11.4214247192259,99.6108910891089,419.650495049505,1010
"179","youthSocialization",1,2,80.148496064742,11.3909155294586,111.293069306931,401.564356435644,1010
"180","youthSocialization",1,3,80.2181724554575,11.7075616991571,112.157425742574,399.654455445545,1010
"181","youthSocialization",1,4,78.7627417928355,11.5094044673611,130.019801980198,394.217821782178,1010
"182","youthSocialization",1,5,78.599310661461,11.2765645725131,129.092079207921,412.828712871287,1010
"183","youthSocialization",1,6,80.2267710128068,11.1955870424065,111.659405940594,421.191089108911,1010
"184","youthSocialization",1,7,79.1473659337375,11.2397211276073,123.152475247525,387.578217821782,1010
"185","youthSocialization",1,8,79.9218808965002,11.4527228126191,113.9,408.676237623762,1010
"186","youthSocialization",1,9,79.8500080305915,11.7932340902134,120.647524752475,421.207920792079,1010
"187","youthSocialization",1,10,79.8659096131057,11.4647650418491,117.40396039604,402.272277227723,1010
"188","youthSocialization",2,0,95.8128910891089,13.806119548057,12.6930693069307,112.829702970297,1010
"189","youthSocialization",2,1,79.4311972053521,11.1083808195226,29.929702970297,98.8128712871287,1010
"190","youthSocialization",2,2,79.2364916345584,11.5647398459609,33.509900990099,102.905940594059,1010
"191","youthSocialization",2,3,79.0796174879325,11.1650092639773,31.8534653465347,90.5623762376238,1010
"192","youthSocialization",2,4,77.3490994342074,11.4610056281345,33.2891089108911,95.8465346534653,1010
"193","youthSocialization",2,5,79.6863208750908,12.1726255577859,28.2524752475248,94.380198019802,1010
"194","youthSocialization",2,6,80.4481012749988,12.0980665617595,28.4069306930693,95.8069306930693,1010
"195","youthSocialization",2,7,79.8235846298656,11.6228139119227,26.8960396039604,91.329702970297,1010
"196","youthSocialization",2,8,77.4101386993884,11.5841358801716,29.9326732673267,81.709900990099,1010
"197","youthSocialization",2,9,79.6635963149562,11.2805792279144,26.7881188118812,86.1841584158416,1010
"198","youthSocialization",2,10,78.0160113600048,11.3622436015125,33.4257425742574,104.59504950495,1010
